"compnos","naturecode","incident_type_description","main_crimecode","reptdistrict","reportingarea","fromdate","weapontype","shooting","domestic","shift","year","month","day_week","ucrpart","x","y","streetname","xstreetname","location"
"152038715","ARMROB","ROBBERY","03xx","A1","0","2015-05-12T02:00:00","Firearm","False","False","Last","2015","5","Tuesday","Part One","774011.2774","2954067.718","AVERY ST","MASON ST","(42.35328634, -71.06402456)"
"152038810","IVPER","SIMPLE ASSAULT","08xx","B2","0","2015-05-12T02:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","766591.1813","2940673.656","CRAWFORD ST","None","(42.31663333, -71.09171255)"
"152038998","VAND","VANDALISM","14xx","B3","0","2015-05-12T02:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","762207.3249","2924881.956","CUMMINS HY","None","(42.27335636, -71.10818955)"
"152040805","IVPER","InvProp","InvProp","B3","0","2015-05-12T03:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","768011.6795","2932613.022","TALBOT AV","None","(42.29449575, -71.08660488)"
"152038855","ROBBER","ROBBERY","03xx","B2","0","2015-05-12T03:05:00","Unarmed","False","False","Last","2015","5","Tuesday","Part One","None","None","BLUE HILL AV","QUINCY ST","(0.0, 0.0)"
"152038717","MVA","VAL","VAL","D4","0","2015-05-12T03:45:00","Other","False","False","Last","2015","5","Tuesday","Part Two","767994.6326","2952880.692","HEREFORD ST","COMMONWEALTH AV","(42.35011134, -71.08630455)"
"152038720","ALARM","VANDALISM","14xx","D4","0","2015-05-12T03:59:00","Other","False","False","Last","2015","5","Tuesday","Part Two","772987.0192","2950026.466","WASHINGTON ST","None","(42.34221135, -71.06788956)"
"152038725","MVA","MVAcc","MVAcc","A1","0","2015-05-12T05:35:00","Unarmed","False","False","Last","2015","5","Tuesday","Other","776851.4761","2954204.494","CONGRESS ST","ATLANTIC AV","(42.35362134, -71.05351456)"
"152039611","BE","OTHER LARCENY","06xx","D14","0","2015-05-12T06:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part One","747041.4629","2952520.049","WASHINGTON ST","None","(42.34937447, -71.1638229)"
"152038722","MVA","MVAcc","MVAcc","E13","0","2015-05-12T06:00:00","Other","False","False","Last","2015","5","Tuesday","Other","760592.1395","2934324.064","HYDE PARK AV","WELD HILL ST","(42.29928636, -71.11399955)"
"152038724","EDP","MedAssist","MedAssist","C11","0","2015-05-12T06:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","None","None","WESTVILLE TR","None","(0.0, 0.0)"
"152038721","CD9","InvProp","InvProp","A1","0","2015-05-12T06:15:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","777420.9352","2956423.371","STATE ST","None","(42.35970178, -71.05136465)"
"152038723","ARREST","OTHER LARCENY","06xx","A1","0","2015-05-12T06:22:00","Unarmed","False","False","Last","2015","5","Tuesday","Part One","775397.5892","2955626.319","SCHOOL ST","None","(42.35754362, -71.05886606)"
"152038726","MVA","VAL","VAL","B2","0","2015-05-12T06:28:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","769512.4455","2938855.865","BLUE HILL AV","INTERVALE ST","(42.31160635, -71.08094456)"
"152038953","IVMV","AUTO THEFT","07xx","C11","0","2015-05-12T07:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part One","None","None","DRAPER ST","ARCADIA ST","(0.0, 0.0)"
"152038978","IVPREM","DRUG CHARGES","18xx","E5","0","2015-05-12T07:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","751256.7891","2929857.799","CENTRE ST","None","(42.28714136, -71.14857453)"
"152038745","IVMV","VAL","VAL","A15","0","2015-05-12T07:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","774092.2401","2963337.398","SCHOOL ST","None","(42.37872134, -71.06354956)"
"152038892","VAND","PropDam","PropDam","C11","0","2015-05-12T07:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","777620.3758","2932240.245","NEPONSET AV","None","(42.29333954, -71.05109764)"
"152038970","IVPER","MedAssist","MedAssist","E18","0","2015-05-12T07:00:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","756254.4316","2913651.113","HYDE PARK AV","None","(42.24261089, -71.13036448)"
"152038731","IVPER","DRUG CHARGES","18xx","D14","0","2015-05-12T07:15:00","Unarmed","False","False","Last","2015","5","Tuesday","Part Two","752048.4758","2952718.757","WARREN ST","None","(42.34986409, -71.14529739)"
"152038729","EDP","MedAssist","MedAssist","B2","0","2015-05-12T07:20:00","Unarmed","False","False","Last","2015","5","Tuesday","Part three","767789.6691","2943564.95","FENWICK PL","None","(42.32455135, -71.08722955)"
"152038916","IVPREM","DRUG CHARGES","18xx","B3","0","2015-05-12T07:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","766751.5911","2929095.955","BLUE HILL AV","None","(42.28486136, -71.09132455)"
"152038941","BE","RESIDENTIAL BURGLARY","05RB","E18","0","2015-05-12T07:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","756037.5945","2910878.944","STANBRO ST","None","(42.23500637, -71.13120954)"
"152038737","IVMV","TOWED","TOWED","A1","0","2015-05-12T07:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","776408.9563","2957682.48","HANOVER ST","None","(42.36317134, -71.05508456)"
"152038917","IVPREM","DRUG CHARGES","18xx","B3","0","2015-05-12T07:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","766751.5911","2929095.955","BLUE HILL AV","None","(42.28486136, -71.09132455)"
"152038775","MVA","VAL","VAL","B2","0","2015-05-12T07:45:00","Other","False","False","Day","2015","5","Tuesday","Part Two","None","None","WARREN ST","None","(0.0, 0.0)"
"152038787","INJOFF","MedAssist","MedAssist","C11","0","2015-05-12T07:45:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","773634.6072","2935403.522","RIDGEWOOD ST","None","(42.30207637, -71.06576958)"
"152038792","LARCEN","FRAUD","11xx","E13","0","2015-05-12T07:53:00","Other","False","False","Day","2015","5","Tuesday","Part Two","761435.5578","2945053.02","S HUNTINGTON AV","None","(42.32871666, -71.11070096)"
"152038739","MVA","VAL","VAL","E18","0","2015-05-12T07:56:00","Other","False","False","Day","2015","5","Tuesday","Part Two","None","None","WALK HILL ST","CANTERBURY ST","(0.0, 0.0)"
"152039070","MVA","VAL","VAL","A1","0","2015-05-12T08:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","772127.7017","2955320.913","CHESTNUT ST","BRIMMER ST","(42.35675135, -71.07096956)"
"152044360","LARCEN","OTHER LARCENY","06xx","B2","0","2015-05-12T08:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","763686.9342","2948569.073","AVENUE LOUIS PASTEUR","None","(42.33833635, -71.10231455)"
"152039156","IVPER","InvPer","InvPer","C11","0","2015-05-12T08:00:00","Other","False","False","Day","2015","5","Tuesday","Part three","774692.0171","2932573.703","DORCHESTER AV","None","(42.29429635, -71.06191456)"
"152038789","IVMV","TOWED","TOWED","D4","0","2015-05-12T08:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","768878.7368","2950082.549","ALBEMARLE ST","ST BOTOLPH ST","(42.34242135, -71.08308455)"
"152040828","VAND","VANDALISM","14xx","C6","0","2015-05-12T08:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","781541.2029","2946756.918","E 6TH ST","None","(42.33311635, -71.03631457)"
"152038748","IVMV","VAL","VAL","B2","0","2015-05-12T08:28:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","765817.3751","2944933.627","LINWOOD ST","None","(42.32833302, -71.09449872)"
"152040724","IVPER","InvPer","InvPer","D14","0","2015-05-12T08:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","None","None","BEECHCROFT ST","None","(0.0, 0.0)"
"152039062","LARCEN","OTHER LARCENY","06xx","A1","0","2015-05-12T08:30:00","Other","False","False","Day","2015","5","Tuesday","Part One","774824.9513","2954057.314","AVENUE DE LAFAYETTE","None","(42.35324634, -71.06101456)"
"152038779","UNCONS","MedAssist","MedAssist","C11","0","2015-05-12T08:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","776987.5988","2941215.353","SPRING GARDEN ST","None","(42.31797679, -71.05326265)"
"152038795","LARCEN","PropLost","PropLost","D4","0","2015-05-12T08:45:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","768178.1968","2950021.377","HUNTINGTON AV","None","(42.34226286, -71.08567687)"
"152038749","IVMV","VAL","VAL","C6","0","2015-05-12T09:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","781226.72","2947906.8","K ST","None","(42.33627635, -71.03745457)"
"152038772","IVPREM","DRUG CHARGES","18xx","B2","0","2015-05-12T09:00:00","Other","False","False","Day","2015","5","Tuesday","Part Two","768218.0809","2945064.255","WASHINGTON ST","None","(42.3286598, -71.08561842)"
"152039125","MVA","VAL","VAL","C11","0","2015-05-12T09:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","None","None","DORCHESTER AV","None","(0.0, 0.0)"
"152038847","LARCEN","OTHER LARCENY","06xx","C11","0","2015-05-12T09:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","776075.9865","2936465.618","FREEPORT ST","None","(42.30495635, -71.05672456)"
"152038879","LARCEN","OTHER LARCENY","06xx","D14","0","2015-05-12T09:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","750668.6334","2947722.429","BEACON ST","None","(42.33616959, -71.15047762)"
"152038756","PROTES","Gather","Gather","A1","0","2015-05-12T09:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","774308.2269","2955725.566","BEACON ST","BOWDOIN ST","(42.35783134, -71.06289456)"
"152038755","DISTRB","TRESPASS","TRESPASS","A1","0","2015-05-12T09:13:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","774688.3413","2955392.243","TREMONT ST","None","(42.35691134, -71.06149456)"
"152038765","VAND","VANDALISM","14xx","D14","0","2015-05-12T09:15:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","758645.7992","2953460.415","COMMONWEALTH AV","None","(42.35182135, -71.12087954)"
"152038776","IVPREM","InvProp","InvProp","E13","0","2015-05-12T09:23:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","None","None","BROOKSIDE AV","None","(0.0, 0.0)"
"152038808","LARCEN","FRAUD","11xx","E18","0","2015-05-12T09:25:00","Other","False","False","Day","2015","5","Tuesday","Part Two","758756.7157","2922553.869","HYDE PARK AV","None","(42.26701069, -71.12097728)"
"152038751","TS","VAL","VAL","B2","0","2015-05-12T09:25:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","768528.6758","2939527.063","WAUMBECK ST","WARREN ST","(42.31346136, -71.08456955)"
"152038778","MVA","VAL","VAL","C11","0","2015-05-12T09:26:00","Other","False","False","Day","2015","5","Tuesday","Part Two","770644.0423","2935165.667","WASHINGTON ST","None","(42.30146493, -71.07682864)"
"152038762","IVMV","VAL","VAL","D14","0","2015-05-12T09:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","752824.3316","2952548.843","WARREN ST","None","(42.34938895, -71.14242987)"
"152038754","IVPER","SIMPLE ASSAULT","08xx","B2","0","2015-05-12T09:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","767293.447","2938701.003","HOMESTEAD ST","None","(42.31121103, -71.08915114)"
"152039085","MVA","MVAcc","MVAcc","D14","0","2015-05-12T09:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Other","756075.6052","2952417.806","BRAINERD RD","None","(42.34899135, -71.13040454)"
"152038768","CARDIA","MedAssist","MedAssist","D4","0","2015-05-12T09:31:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","768464.0312","2947624.319","WARWICK ST","None","(42.33568143, -71.08466278)"
"152038781","ARREST","LARCENY FROM MOTOR VEHICLE","06MV","D4","0","2015-05-12T09:34:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","772372.9289","2949835.683","UNION PARK ST","SHAWMUT AV","(42.34169635, -71.07016455)"
"152038975","BE","RESIDENTIAL BURGLARY","05RB","B3","0","2015-05-12T09:45:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","770649.3389","2932684.487","PARK ST","None","(42.29465636, -71.07685456)"
"152038761","MVA","MVAcc","MVAcc","D14","0","2015-05-12T09:59:00","Unarmed","False","False","Day","2015","5","Tuesday","Other","749850.1649","2952395.315","CHESTNUT HILL AV","WASHINGTON ST","(42.34900135, -71.15343453)"
"152038966","IVPER","InvPer","InvPer","B3","0","2015-05-12T10:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","768401.9484","2926093.793","LORNA RD","None","(42.27660136, -71.08527957)"
"152038912","BE","RESIDENTIAL BURGLARY","05RB","D14","0","2015-05-12T10:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","753240.2247","2950935.007","CAROL AV","None","(42.34495573, -71.14091649)"
"152039195","IVPER","Harass","Harass","D4","0","2015-05-12T10:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","770190.4678","2948336.103","MASSACHUSETTS AV","None","(42.33761135, -71.07826455)"
"152038839","LARCEN","OTHER LARCENY","06xx","D4","0","2015-05-12T10:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","771416.9377","2946917.291","MASSACHUSETTS AV","ALBANY ST","(42.33370135, -71.07375456)"
"152038759","ARREST","Service","Service","A1","0","2015-05-12T10:10:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","774107.7181","2953709.249","BOYLSTON ST","None","(42.35230134, -71.06367456)"
"152038830","LARCEN","LARCENY FROM MOTOR VEHICLE","06MV","A1","0","2015-05-12T10:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","775856.5178","2957060.42","UNION ST","HANOVER ST","(42.36147229, -71.05714058)"
"152038783","ARREST","AGGRAVATED ASSAULT","04xx","D4","0","2015-05-12T10:30:00","Knife","False","False","Day","2015","5","Tuesday","Part One","768191.7788","2949947.602","HUNTINGTON AV","None","(42.34206023, -71.08562796)"
"152039015","MVA","VAL","VAL","B3","0","2015-05-12T10:35:00","Other","False","False","Day","2015","5","Tuesday","Part Two","766179.6739","2925889.95","NORFOLK ST","BLUE HILL AV","(42.27607136, -71.09349455)"
"152038809","ALARM","InvProp","InvProp","B3","0","2015-05-12T10:35:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","769868.5914","2929703.288","CHARLES RD","None","(42.28648636, -71.07979456)"
"152038777","IVPER","InvPer","InvPer","D14","0","2015-05-12T10:39:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","754860.65","2953994.954","BRIGHTON AV","None","(42.35333345, -71.13487402)"
"152041054","LARCEN","OTHER LARCENY","06xx","A1","0","2015-05-12T10:40:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","774867.5053","2954717.149","WASHINGTON ST","None","(42.35505634, -71.06084456)"
"152038786","LARCEN","OTHER LARCENY","06xx","A7","0","2015-05-12T10:45:00","Other","False","False","Day","2015","5","Tuesday","Part One","None","None","MARION ST","None","(0.0, 0.0)"
"152038796","IVPER","Service","Service","E18","0","2015-05-12T10:54:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","758716.3214","2917955.448","OAK ST","None","(42.25439274, -71.12120197)"
"152038793","DISTRB","VANDALISM","14xx","A1","0","2015-05-12T11:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","775553.5597","2954292.488","SUMMER ST","None","(42.35388134, -71.05831456)"
"152038806","IVPER","MedAssist","MedAssist","B2","0","2015-05-12T11:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","770185.95","2940223.956","BLUE HILL AV","None","(42.31535135, -71.07842956)"
"152038790","AB","SIMPLE ASSAULT","08xx","B3","0","2015-05-12T11:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","767202.4704","2930994.942","BLUE HILL AV","None","(42.29006636, -71.08962456)"
"152038784","IVMV","VAL","VAL","A1","0","2015-05-12T11:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","773906.3061","2956097.05","HANCOCK ST","None","(42.35885634, -71.06437456)"
"152038803","MVA","MVAcc","MVAcc","D4","0","2015-05-12T11:08:00","Other","False","False","Day","2015","5","Tuesday","Other","767602.7587","2949506.019","HUNTINGTON AV","None","(42.34085635, -71.08781455)"
"152038819","LARCEN","OTHER LARCENY","06xx","A1","0","2015-05-12T11:13:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","774927.5836","2958318.224","CANAL ST","None","(42.36493691, -71.06055366)"
"152038788","IVMV","LARCENY FROM MOTOR VEHICLE","06MV","E18","0","2015-05-12T11:24:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","756254.4316","2913651.113","HYDE PARK AV","None","(42.24261089, -71.13036448)"
"152038804","UNKEMS","InvPer","InvPer","B2","0","2015-05-12T11:27:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","771980.3251","2939451.203","BIRD ST","None","(42.31320635, -71.07180956)"
"152038798","FDWEAP","32GUN","32GUN","B3","0","2015-05-12T11:30:00","Firearm","False","False","Day","2015","5","Tuesday","Part three","769608.2586","2927065.408","MORTON ST","None","(42.27925136, -71.08080456)"
"152038812","IVPER","Argue","Argue","B2","0","2015-05-12T11:39:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","None","None","BLUE HILL AV","None","(0.0, 0.0)"
"152038802","IVMV","VAL","VAL","D14","0","2015-05-12T11:40:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","752824.3316","2952548.843","WARREN ST","None","(42.34938895, -71.14242987)"
"152038827","PROP","PropLost","PropLost","A1","0","2015-05-12T11:40:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","775087.02","2957120.525","SUDBURY ST","None","(42.36164815, -71.05998657)"
"152038834","INVEST","FIRE","FIRE","E13","0","2015-05-12T11:53:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","761637.4806","2934801.963","MORTON ST","None","(42.30058469, -71.11012751)"
"152038817","ARREST","AUTO THEFT","07xx","D4","0","2015-05-12T11:58:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","771191.24","2947173.085","MASSACHUSETTS AV","HARRISON AV","(42.33440635, -71.07458455)"
"152044801","IVPER","RESIDENTIAL BURGLARY","05RB","C11","0","2015-05-12T12:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","773368.3558","2935894.139","HOMES AV","None","(42.30342636, -71.06674457)"
"152039638","IVPER","SexReg","SexReg","C11","0","2015-05-12T12:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","773727.5092","2930974.416","MELBOURNE ST","None","(42.28992136, -71.06550956)"
"152038805","ARREST","DISORDERLY","24xx","A1","0","2015-05-12T12:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","774107.7181","2953709.249","BOYLSTON ST","None","(42.35230134, -71.06367456)"
"152038885","IVPER","SexReg","SexReg","D4","0","2015-05-12T12:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","767317.2901","2952640.538","MASSACHUSETTS AV","None","(42.34946134, -71.08881455)"
"152039071","LARCEN","FRAUD","11xx","D4","0","2015-05-12T12:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","772273.0459","2951416.795","BERKELEY ST","None","(42.34603634, -71.07050456)"
"152040476","LARCEN","OTHER LARCENY","06xx","E13","0","2015-05-12T12:00:00","Other","False","False","Day","2015","5","Tuesday","Part One","760295.6063","2940554.399","LAKEVILLE RD","None","(42.31638642, -71.11499169)"
"152040850","LARCEN","FORGERY","10xx","E18","0","2015-05-12T12:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","757139.1835","2921082.391","MYOPIA RD","None","(42.26299241, -71.12697701)"
"152038814","MVA","MVAcc","MVAcc","C11","0","2015-05-12T12:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Other","772387.7698","2930861.269","LITHGOW ST","None","(42.28962949, -71.0704631)"
"152038837","DISTRB","SIMPLE ASSAULT","08xx","C11","0","2015-05-12T12:08:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","None","None","GENEVA AV","None","(0.0, 0.0)"
"152039133","IVPER","SIMPLE ASSAULT","08xx","E13","0","2015-05-12T12:10:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","None","None","MCBRIDE ST","WASHINGTON ST","(0.0, 0.0)"
"152038840","IVPER","InvPer","InvPer","C11","0","2015-05-12T12:21:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","771938.8074","2932900.463","WASHINGTON ST","None","(42.29523136, -71.07208456)"
"152038851","IVPER","DRUG CHARGES","18xx","C6","0","2015-05-12T12:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","None","None","W BROADWAY","None","(0.0, 0.0)"
"152038825","ROBBER","OTHER LARCENY","06xx","B2","0","2015-05-12T12:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","772951.2457","2944009.597","SHIRLEY ST","None","(42.32570135, -71.06813457)"
"152038821","MVA","VAL","VAL","A1","0","2015-05-12T12:30:00","Other","False","False","Day","2015","5","Tuesday","Part Two","None","None","BEACON ST","None","(0.0, 0.0)"
"152038967","PROP","PropFound","PropFound","D4","0","2015-05-12T12:44:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","767541.5577","2951821.658","BOYLSTON ST","MASSACHUSETTS AV","(42.34721134, -71.08799955)"
"152038822","BOMB","Bomb","Bomb","A1","0","2015-05-12T12:59:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","775321.4109","2954493.545","SUMMER ST","None","(42.35443634, -71.05916956)"
"152039146","PROP","PropLost","PropLost","A1","0","2015-05-12T13:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","775083.5981","2954745.595","SUMMER ST","None","(42.35513134, -71.06004456)"
"152038853","IVPREM","DRUG CHARGES","18xx","C6","0","2015-05-12T13:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","None","None","W BROADWAY","None","(0.0, 0.0)"
"152038835","ARREST","SexReg","SexReg","B2","0","2015-05-12T13:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","768511.9472","2945459.828","WASHINGTON ST","ROXBURY ST","(42.32974135, -71.08452455)"
"152039778","DVIP","SIMPLE ASSAULT","08xx","B2","0","2015-05-12T13:00:00","Other","False","False","Day","2015","5","Tuesday","Part Two","None","None","SEAVER ST","None","(0.0, 0.0)"
"152038832","MISC","Service","Service","E18","0","2015-05-12T13:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","757969.2324","2918691.415","HYDE PARK AV","None","(42.25642136, -71.12394954)"
"152038833","MVA","VAL","VAL","E18","0","2015-05-12T13:00:00","Other","False","False","Day","2015","5","Tuesday","Part Two","757915.0527","2918392.351","HYDE PARK AV","None","(42.25560136, -71.12415455)"
"152039083","IVPER","PhoneCalls","PhoneCalls","B2","0","2015-05-12T13:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","764729.4865","2944604.955","TERRACE ST","None","(42.32744525, -71.09852752)"
"152038965","IVPER","OTHER LARCENY","06xx","C11","0","2015-05-12T13:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","775730.1985","2940973.03","TAFT ST","None","(42.31732982, -71.05791647)"
"152038857","IVPER","InvProp","InvProp","A1","0","2015-05-12T13:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","774622.4376","2955067.563","WINTER ST","None","(42.35602134, -71.06174456)"
"152038844","PROP","PropLost","PropLost","B2","0","2015-05-12T13:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","766238.0029","2941911.626","CODMAN PARK","None","(42.32003502, -71.09299654)"
"152038875","IVPER","MedAssist","MedAssist","C11","0","2015-05-12T13:30:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","775676.4377","2936831.615","LINDEN ST","None","(42.30596635, -71.05819456)"
"152038850","IVPER","MedAssist","MedAssist","B3","0","2015-05-12T13:41:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","771778.5062","2931144.96","TALBOT AV","None","(42.29041636, -71.07270956)"
"152038849","IVPER","Arrest","Arrest","E13","0","2015-05-12T13:45:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","765221.5863","2939924.814","COLUMBUS AV","None","(42.31459635, -71.09678955)"
"152038842","IVPER","FORGERY","10xx","C11","0","2015-05-12T13:48:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","None","None","DORCHESTER AV","None","(0.0, 0.0)"
"152038848","ARREST","STOLEN PROPERTY CHARGES","13xx","A1","0","2015-05-12T13:50:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","776673.3203","2958035.535","HANOVER ST","None","(42.36413634, -71.05409956)"
"152039154","IVPER","InvPer","InvPer","A1","0","2015-05-12T14:00:00","Other","False","False","Day","2015","5","Tuesday","Part three","774854.4296","2957781.93","PORTLAND ST","None","(42.36346634, -71.06083456)"
"152039075","IVPER","InvProp","InvProp","C11","0","2015-05-12T14:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part three","None","None","DORCHESTER AV","None","(0.0, 0.0)"
"152039487","IVPER","OTHER","OTHER","B3","0","2015-05-12T14:00:00","Unarmed","False","False","Day","2015","5","Tuesday","Part Two","765901.4635","2928205.646","OUTLOOK RD","None","(42.28242942, -71.09448186)"
"152038865","ARREST","OTHER LARCENY","06xx","A1","0","2015-05-12T14:04:00","Unarmed","False","False","Day","2015","5","Tuesday","Part One","774311.2131","2953296.665","WASHINGTON ST","None","(42.35116634, -71.06292956)"
